timestamp,ch1,ch2,ch3
1746888169.151756,-92,-65,46
1746888169.1547751,-17,-13,44
1746888169.1573,-94,-57,46
1746888169.1598215,4,-10,35
1746888169.1623447,-102,-62,46
1746888169.164902,18,5,24
1746888169.167422,-92,-52,45
1746888169.16994,55,22,31
1746888169.1724622,-79,-38,46
1746888169.1749847,73,38,27
1746888169.1770816,-68,-30,34
1746888169.1799529,87,32,15
1746888169.181964,-57,-21,47
1746888169.1850855,96,49,21
1746888169.1866744,-29,-15,43
1746888169.1900003,101,58,24
1746888169.1915295,-10,-9,41
1746888169.19455,106,51,17
1746888169.1965733,18,8,30
1746888169.1996284,80,67,16
1746888169.2017388,53,13,26
1746888169.2047956,80,69,0
1746888169.2064097,67,23,30
1746888169.2099562,56,67,2
1746888169.2114944,77,32,31
1746888169.2150176,30,80,1
1746888169.2165987,86,41,27
1746888169.2202454,10,74,-7
1746888169.2212563,91,54,25
1746888169.2249355,-12,81,6
1746888169.2260265,92,53,24
1746888169.2300882,-33,82,-6
1746888169.2316954,80,67,12
1746888169.235308,-51,69,-11
1746888169.236376,69,81,1
1746888169.2404482,-68,64,-14
1746888169.2409806,52,79,-3
1746888169.2461345,32,79,4

1746888169.2506595,16,74,-9
1746888169.25121,-96,62,-24
1746888169.2553117,-7,79,-11
1746888169.255823,-94,63,-13
1746888169.25984,-41,79,-4
1746888169.2608693,-86,51,-22
1746888169.2650332,-53,67,-13
1746888169.2655647,-75,42,-27
1746888169.2702646,-80,81,-16
1746888169.2707872,-72,36,-36
1746888169.275026,-84,76,-15
1746888169.2756083,-43,16,-32
1746888169.2798057,-104,54,-10
1746888169.2803135,-17,1,-29
1746888169.284544,-106,52,-25
1746888169.2850504,5,-3,-27
1746888169.2895436,-95,53,-14
1746888169.2900517,33,-10,-44
1746888169.2942593,-79,40,-25
1746888169.2947717,48,-19,-37
1746888169.2987845,-76,37,-19
1746888169.299297,71,-24,-51
1746888169.3037724,-42,27,-31
1746888169.304312,88,-29,-48
1746888169.308329,-25,13,-30
1746888169.3088439,101,-54,-40
1746888169.3130937,-6,-7,-26
1746888169.3141148,105,-46,-40
1746888169.3181155,16,-8,-41
1746888169.3191342,100,-59,-50
1746888169.3226676,52,-28,-40
1746888169.3239849,91,-61,-43
1746888169.3275638,64,-26,-50
1746888169.3291576,74,-68,-43
1746888169.332736,87,-42,-37
1746888169.3343666,56,-84,-49
1746888169.337434,99,-45,-46
1746888169.3394513,45,-81,-65
1746888169.3424668,107,-49,-45
1746888169.344005,2,-70,-49
1746888169.3480227,97,-65,-45
1746888169.3490503,-18,-75,-58
1746888169.3534214,87,-58,-58
1746888169.3545773,-37,-86,-49
1746888169.3583403,67,-68,-57
1746888169.359367,-52,-83,-54
1746888169.3633974,59,-70,-51
1746888169.3644097,-75,-81,-53
1746888169.368491,33,-82,-56
1746888169.3695033,-99,-69,-58
1746888169.3731978,10,-80,-65
1746888169.3747356,-89,-61,-67
1746888169.378328,-21,-81,-59
1746888169.3798976,-106,-50,-59
1746888169.3829436,-27,-82,-51
1746888169.3849587,-101,-57,-56
1746888169.3879943,-60,-82,-54
1746888169.3900256,-89,-39,-57
1746888169.3930743,-81,-75,-52
1746888169.3951125,-70,-34,-64
1746888169.397629,-87,-76,-50
1746888169.4000232,-48,-14,-51
1746888169.402539,-96,-59,-62
1746888169.4050524,-34,-6,-62
1746888169.4075663,-96,-46,-50
1746888169.410401,-2,8,-59
1746888169.4124446,-95,-56,-64
1746888169.4154718,19,10,-48
1746888169.4175148,-87,-44,-62
1746888169.420524,38,25,-53
1746888169.4220488,-64,-33,-65
1746888169.4256155,67,33,-50
1746888169.4266365,-57,-25,-55
1746888169.4307766,76,44,-55
1746888169.4317935,-22,-10,-59
1746888169.4358215,87,37,-49
1746888169.437162,9,6,-50
1746888169.440696,98,46,-40
1746888169.4417133,28,13,-65
1746888169.445703,99,58,-42
1746888169.4467185,55,13,-48
1746888169.4508173,85,60,-50
1746888169.4513245,63,33,-59
1746888169.4558547,75,71,-50
1746888169.456391,81,31,-47
1746888169.460958,54,71,-32
1746888169.4614954,102,45,-59
1746888169.4662802,97,46,-39
1746888169.4662802,43,85,-43
1746888169.4712338,107,57,-41
1746888169.4717414,2,86,-30
1746888169.476288,84,68,-52
1746888169.4768271,-20,87,-38
1746888169.4813883,68,63,-36
1746888169.4818966,-38,85,-22
1746888169.4860084,48,78,-49
1746888169.4865434,-60,66,-22
1746888169.491126,30,80,-43
1746888169.491126,-70,64,-35
1746888169.4958823,20,74,-28
1746888169.4958823,-87,57,-27
1746888169.5006895,-6,75,-40
1746888169.5011973,-91,70,-25
1746888169.505347,-36,79,-39
1746888169.5059116,-106,56,-11
1746888169.5104723,-88,44,-13
1746888169.5151196,-80,66,-23
1746888169.515631,-84,38,-19
1746888169.5202017,-99,72,-24
1746888169.5207129,-72,35,-13
1746888169.5252912,-43,28,-14

1746888169.5299401,-102,58,-22
1746888169.530453,-28,18,-13
1746888169.534983,-98,46,-17
1746888169.5355136,-4,-9,0
1746888169.540109,-79,45,-20
1746888169.5407333,24,-3,0
1746888169.5449011,-67,37,-5
1746888169.5454285,48,-21,5
1746888169.5499606,-51,23,-11
1746888169.5499606,68,-27,3
1746888169.5546424,-30,2,-6
1746888169.555153,88,-30,20
1746888169.5599184,88,-45,8
1746888169.5648994,33,-18,7
1746888169.5654335,103,-45,24
1746888169.570139,93,-57,10
1746888169.5752761,66,-29,2
1746888169.5757833,95,-68,13
1746888169.579919,80,-39,16
1746888169.5809822,80,-66,32
1746888169.5848236,99,-55,21
1746888169.5858498,63,-68,36
1746888169.5898938,107,-60,17
1746888169.590907,37,-82,29
1746888169.594962,103,-54,24
1746888169.595981,5,-72,43
1746888169.6000283,97,-76,30
1746888169.6010437,-10,-72,41
1746888169.6051922,72,-77,30
1746888169.605702,-40,-72,39
1746888169.609987,49,-75,22
1746888169.610497,-59,-68,38
1746888169.614727,32,-77,33
1746888169.6152382,-70,-66,46
1746888169.6197615,10,-78,24
1746888169.6202962,-95,-68,41
1746888169.6248553,-106,-63,43
1746888169.6295278,-39,-77,37
1746888169.6300347,-108,-53,48
1746888169.6343844,-60,-82,41
1746888169.634894,-94,-50,52
1746888169.6394153,-87,-67,50
1746888169.6399457,-84,-43,47
1746888169.6444974,-88,-64,44
1746888169.6450734,-62,-28,60
1746888169.649088,-91,-64,37
1746888169.6506164,-58,-26,50
1746888169.6541657,-101,-52,49
1746888169.655686,-26,-1,65
1746888169.6593676,-87,-55,48
1746888169.6604433,-5,3,58
1746888169.6644638,-81,-39,46
1746888169.6660392,19,4,55
1746888169.670197,-60,-20,53
1746888169.671451,44,22,63
1746888169.6752262,-57,-22,45
1746888169.6762757,76,21,49
1746888169.6799202,-33,-8,56
1746888169.6809971,83,39,60
1746888169.6850314,-6,9,56
1746888169.6860871,94,49,60
1746888169.6896656,20,9,66
1746888169.6907754,104,49,59
1746888169.6943848,54,24,62
1746888169.695923,98,57,52
1746888169.6991885,77,31,64
1746888169.7007132,91,68,55
1746888169.7042317,81,36,64
1746888169.7057586,69,73,56
1746888169.7089303,85,55,51
1746888169.710453,49,84,56
1746888169.7139778,104,58,64
1746888169.7156243,39,82,61
1746888169.7192333,96,62,68
1746888169.7208302,12,77,53
1746888169.724097,85,62,66
1746888169.7256186,-18,83,52
1746888169.7291474,85,72,64
1746888169.7306914,-42,82,52
1746888169.7342467,57,77,48
1746888169.735787,-68,83,58
1746888169.739368,43,80,59
1746888169.740909,-79,72,52
1746888169.7446103,8,79,50
1746888169.7462215,-100,65,46
1746888169.7497635,-5,75,53
1746888169.7516277,-103,63,50
1746888169.7547581,-35,80,57
1746888169.7569103,-101,63,56
1746888169.7595997,-65,69,48
1746888169.7617438,-92,55,37
1746888169.7643266,-82,74,58
1746888169.7668934,-88,37,50
1746888169.7690773,-85,75,45
1746888169.7720988,-77,21,43
1746888169.7740092,-97,60,53
1746888169.7774353,-55,9,29
1746888169.779522,-108,62,52
1746888169.782736,-15,4,37
1746888169.784399,-97,50,53
1746888169.7874484,0,-7,37
1746888169.7890704,-87,39,38
1746888169.7921696,16,-6,35
1746888169.793772,-60,34,39
1746888169.7972958,55,-15,22
1746888169.7983053,-41,11,38
1746888169.8022492,58,-34,36
1746888169.803264,-33,0,36
1746888169.8074508,91,-30,21
1746888169.8079898,5,1,40
1746888169.812682,22,-11,28
1746888169.812682,100,-44,25
1746888169.817503,49,-12,30
1746888169.817503,89,-53,25
1746888169.8221862,72,-35,19
1746888169.8226988,95,-56,7
1746888169.8268342,79,-30,25
1746888169.8273408,82,-58,5
1746888169.831919,78,-68,4
1746888169.831919,101,-39,16
1746888169.8370752,95,-51,15
1746888169.8421202,103,-70,21
1746888169.8421202,30,-84,-5
1746888169.846604,85,-68,18
1746888169.8471186,11,-84,6
1746888169.8516397,74,-74,14
1746888169.8521478,-21,-78,0
1746888169.8567662,53,-70,3
1746888169.8567662,-40,-74,0
1746888169.8614466,39,-82,2
1746888169.8619561,-49,-74,1
1746888169.866556,-76,-69,-12
1746888169.866556,11,-77,3
1746888169.87119,-87,-61,-8
1746888169.87119,-17,-74,-5
1746888169.8757257,-92,-63,-10
1746888169.8762918,-46,-72,-1
1746888169.880396,-97,-57,-13
1746888169.8809543,-50,-69,-9
1746888169.8853533,-98,-46,-17
1746888169.885862,-69,-66,-20
1746888169.8905706,-91,-34,-18
1746888169.8905706,-96,-69,-17
1746888169.895194,-74,-27,-25
1746888169.895718,-101,-62,-24
1746888169.900113,-95,-54,-17
1746888169.900113,-56,-28,-28
1746888169.9051292,-98,-52,-26
1746888169.9051292,-30,-5,-40
1746888169.9096951,-89,-33,-20
1746888169.9102051,-3,9,-42
1746888169.9145956,-62,-27,-36
